Rank,Full Journal Title,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Cited Half-Life,Citing Half-life,% Articles in Citable Items,Average Journal Impact Factor Percentile
6692,JOURNAL OF NONVERBAL BEHAVIOR,1.767,1.605,2.233,15.8,12.2,84.62,44.531
6692,MOLECULAR PHYSICS,1.767,1.663,1.64,18.3,12,99.69,31.608
6692,Spatial Cognition and Computation,1.767,1.7,1.806,9.5,13.8,92.31,39.655
6695,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,1.766,1.562,2.169,5.6,9.1,89.47,46.548
6696,AIDS RESEARCH AND HUMAN RETROVIRUSES,1.765,1.562,1.784,7.7,6.9,98.47,17.508
6696,CLINICAL EEG AND NEUROSCIENCE,1.765,1.627,1.893,7.2,10,94.12,25.427
6696,EDUCATIONAL POLICY,1.765,1.676,2.464,8.8,9.7,100,57.224
6696,JOURNAL OF SCHEDULING,1.765,1.635,1.798,9.1,12.3,100,36.295
6696,Journal of Infrared Millimeter and Terahertz Waves,1.765,1.615,2.049,5.2,8.2,96.7,39.795
6701,NONPROFIT AND VOLUNTARY SECTOR QUARTERLY,1.764,1.433,2.82,9.1,11.3,100,55.682
6701,PUBLIC HEALTH REPORTS,1.764,1.698,2.7,12.4,5.9,97.62,47.025
6701,PUBLIC HEALTH REPORTS,1.764,1.698,2.7,12.4,5.9,97.62,47.025
6704,JOURNAL OF AGING AND PHYSICAL ACTIVITY,1.763,1.705,2.283,7.1,8.5,86.36,39.744
6704,JOURNAL OF AGING AND PHYSICAL ACTIVITY,1.763,1.705,2.283,7.1,8.5,86.36,39.744
6704,JOURNAL OF FOOD QUALITY,1.763,1.705,1.781,6.3,8.7,94.5,40.647
6707,International Journal of Applied Ceramic Technology,1.762,1.563,1.596,6.2,8.6,99.2,62.5
6708,CONGENITAL ANOMALIES,1.761,1.463,1.506,6.1,11.6,87.1,49.609
6708,Collabra-Psychology,1.761,1.704,1.845,1.7,9.3,96.3,61.957
6708,JOURNAL OF AEROSPACE ENGINEERING,1.761,1.557,1.481,5.4,9.3,99.37,55.519
6708,NEW CARBON MATERIALS,1.761,1.599,1.663,5.3,6.1,96.61,31.051
6708,Simulation in Healthcare-Journal of the Society for Simulation in Healthcare,1.761,1.569,2.399,6.8,7.2,89.83,33.824
6708,WORLD BANK ECONOMIC REVIEW,1.761,1.75,2.494,16,10.8,100,58.136
6714,ACTA PHYSIOLOGIAE PLANTARUM,1.76,1.682,2.078,6.4,9.6,96.43,55.769
6714,Familial Cancer,1.76,1.653,1.902,6.4,7.3,85.48,18.616
6714,GENESIS,1.76,1.664,1.971,12.5,12,75.44,25.375
6714,JOURNAL OF CLINICAL NEUROSCIENCE,1.76,1.689,1.749,6,8.5,85.22,22
6714,THERAPIE,1.76,1.115,1.502,5.4,6.1,95.65,20.556
6719,JOURNAL OF ULTRASOUND IN MEDICINE,1.759,1.586,1.879,7.8,7.9,94.58,46.446
6719,Operational Research,1.759,1.722,1.702,3.5,10.3,100,46.386
6719,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,1.759,1.643,1.674,10.7,7.3,98,35.658
6722,Energy Sources Part B-Economics Planning and Policy,1.758,1.671,1.384,3.7,5.2,100,24.554
6722,JOURNAL OF INTERVENTIONAL CARDIOLOGY,1.758,1.711,1.662,5.8,6.1,92,31.522
6722,NEUROPATHOLOGY,1.758,1.694,1.71,8.1,8.6,87.5,26.56
6722,Parkinsons Disease,1.758,1.702,2.164,5.4,8.1,88.06,25.245
6726,CARDIOVASCULAR PATHOLOGY,1.756,1.626,2.271,7.3,7.6,83.33,33.027
6726,JOURNAL OF RISK AND UNCERTAINTY,1.756,1.556,2.125,20.3,11,100,59.168
6726,SOILS AND FOUNDATIONS,1.756,1.658,2.751,14.4,12.5,99.17,33.869
6729,JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,1.755,1.552,2.281,10.2,9,93.14,78.965
6729,Journal of the Brazilian Society of Mechanical Sciences and Engineering,1.755,1.444,1.698,2.6,7.5,95.47,41.923
6729,Journal of the Economics of Ageing,1.755,1.306,Not Available,3.6,8,100,56.777
6729,REVISTA DE CHIMIE,1.755,0.671,1.351,2.5,7.2,98.84,39.092
6729,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,1.755,1.515,1.893,10.1,10.8,84.93,62.5
6734,CURRENT EYE RESEARCH,1.754,1.703,1.913,8.5,8.6,94.61,42.5
6734,CardioRenal Medicine,1.754,1.696,1.78,4.4,7.3,79.49,31.213
6734,KYBERNETES,1.754,1.498,1.47,5.3,9.9,95.65,47.727
6734,THIRD WORLD QUARTERLY,1.754,1.67,2.219,7.9,8.7,100,52.439
6738,Advances in Polymer Science,1.753,1.753,2.693,14.1,Not Available,Not Available,46.629
6738,China Agricultural Economic Review,1.753,1.198,1.628,4.6,9.5,92.31,57.278
6738,China Agricultural Economic Review,1.753,1.198,1.628,4.6,9.5,92.31,57.278
6738,Journal of Pediatric and Adolescent Gynecology,1.753,1.454,2.077,5.5,7,88.03,41.182
6742,BRITISH EDUCATIONAL RESEARCH JOURNAL,1.752,1.564,2.14,10.1,9.2,98.46,56.844
6742,JOURNAL OF POROUS MEDIA,1.752,1.597,1.487,5.2,11.5,98.06,40.219
6742,Universe,1.752,1.6,1.971,1.8,8.6,83.48,39.313
6745,AGING NEUROPSYCHOLOGY AND COGNITION,1.75,1.656,2.262,8.2,12.3,95.83,42.954
6745,ANNALS OF REGIONAL SCIENCE,1.75,1.537,1.783,9.6,10.5,100,38.537
6745,BMC BIOCHEMISTRY,1.75,1.75,1.798,9.3,11.3,100,16.667
6745,Crime Media Culture,1.75,1.545,1.947,7.2,9.2,100,65.587
6745,DESIGNED MONOMERS AND POLYMERS,1.75,1.75,1.422,6.5,8.5,95.24,45.506
6745,Investigative and Clinical Urology,1.75,1.72,1.957,2.8,8,90.32,31.176
6745,Journal of Public Policy,1.75,1.688,2.011,16,11.6,95.83,55.729
6745,MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,1.75,1.596,1.906,11,9.5,83.33,65.789
6745,Measurement in Physical Education and Exercise Science,1.75,1.183,Not Available,8.5,8.7,100,41.388
6745,Measurement in Physical Education and Exercise Science,1.75,1.183,Not Available,8.5,8.7,100,41.388
6745,PHOTONIC NETWORK COMMUNICATIONS,1.75,1.583,1.304,3.1,5.7,100,35
6745,Psychogeriatrics,1.75,1.573,1.856,5.2,9.1,93.15,27.913
6757,NEPHROLOGY,1.749,1.676,1.892,6.3,8.5,88.48,30
6757,Veterinary and Comparative Oncology,1.749,1.506,1.903,4.1,9,93.44,75.704
6759,ADVANCES IN COMPUTATIONAL MATHEMATICS,1.748,1.595,1.723,14,10.9,100,77.5
6759,AQUACULTURE RESEARCH,1.748,1.553,1.867,8.9,11.2,97.17,63.208
6759,REVISTA DE SAUDE PUBLICA,1.748,1.678,2.439,8.7,6.9,96.23,46.471
6759,REVISTA DE SAUDE PUBLICA,1.748,1.678,2.439,8.7,6.9,96.23,46.471
6763,Frontiers of Materials Science,1.747,1.651,2.079,5,5.8,85,30.414
6763,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,1.747,1.563,2.31,11.9,11,94.63,37.564
6763,Mathematics,1.747,1.325,Not Available,1.1,7.8,98.95,91.512
6766,CURRENT MICROBIOLOGY,1.746,1.641,1.739,9.2,9.1,93.88,19.63
6766,INTERNATIONAL JOURNAL OF BIOLOGICAL MARKERS,1.746,1.724,1.505,5.8,6.2,84.31,17.218
6766,Journal of Research in Medical Sciences,1.746,1.608,1.953,5.7,8.1,85.71,51.212
6766,Progress in Brain Research,1.746,1.734,3.061,12.2,9.4,0,17.528
6766,Radiology and Oncology,1.746,1.568,1.848,4.9,7.2,80.7,21.442
6771,Democratization,1.745,1.383,2.403,6.5,9.6,100,61.944
6771,ECONOMICS LETTERS,1.745,1.66,1.465,9.6,9.4,100,64.016
6771,SMALL GROUP RESEARCH,1.745,1.569,1.961,13.6,12.7,86.96,37.232
6774,EUROPEAN ECONOMIC REVIEW,1.744,1.662,2.543,13.8,10,99.3,63.747
6775,COMPUTATIONAL OPTIMIZATION AND APPLICATIONS,1.743,1.569,1.867,7.8,11.3,100,61.148
6775,JOURNAL OF PUBLIC HEALTH DENTISTRY,1.743,1.663,1.715,9.5,8.7,100,43.751
6775,Social Movement Studies,1.743,1.594,1.94,5.9,8.9,97.67,61.528
6775,World Journal Of Emergency Medicine,1.743,1.257,Not Available,5.1,6.7,92.86,53.226
6779,IET Optoelectronics,1.742,1.667,1.459,3.9,7.3,98,36.967
6779,INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,1.742,1.656,2.378,11.6,9.9,76.74,24.447
6779,International Journal on Semantic Web and Information Systems,1.742,1.613,1.61,7.4,8.2,100,34.799
6779,JOURNAL OF MIDWIFERY & WOMENS HEALTH,1.742,1.548,1.944,8.1,4.7,71.64,71.32
6779,JOURNAL OF MIDWIFERY & WOMENS HEALTH,1.742,1.548,1.944,8.1,4.7,71.64,71.32
6779,Nutrition & Dietetics,1.742,1.5,1.705,5,7,94.59,23.034
6785,BEHAVIOURAL PHARMACOLOGY,1.741,1.653,1.904,9.7,10,82.67,19.696
6785,CLINICAL HEMORHEOLOGY AND MICROCIRCULATION,1.741,1.147,1.342,6.5,8.6,99.23,22.556
6785,FACIES,1.741,1.638,1.854,13.9,18.6,97.78,65.783
6785,Israel Journal of Health Policy Research,1.741,1.296,1.874,3.6,7.4,100,46.445
6785,Journal of Fixed Point Theory and Applications,1.741,1.617,1.564,2.6,12.9,100,83.967
6785,Neotropical Ichthyology,1.741,1.57,1.504,8,12.4,98.21,73.512
6791,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,1.74,1.587,1.936,9.9,10.4,94.74,35.237
6791,Journal of Cultural Economics,1.74,1.3,1.755,13.2,12.3,100,63.477
6791,Journal of Forest Economics,1.74,1.662,1.895,7.1,6.3,100,62.253
6791,Journal of Forest Economics,1.74,1.662,1.895,7.1,6.3,100,62.253
6791,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,1.74,1.427,1.689,11.5,10.3,87.5,73.676
6791,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,1.74,1.427,1.689,11.5,10.3,87.5,73.676
6797,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,1.739,1.517,2.07,13,8.4,94.55,38.083
6797,JOURNAL OF MICROMECHANICS AND MICROENGINEERING,1.739,1.622,1.882,9.9,7.7,93.46,37.677
6797,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,1.739,1.652,1.055,4.3,6.3,90.91,46.242
6800,DISPLAYS,1.738,1.548,1.645,8.4,10.4,100,41.806
6800,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1.738,1.421,2.142,8.5,9.9,80.6,67.999
6800,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1.738,1.421,2.142,8.5,9.9,80.6,67.999
6800,MATERIALS TECHNOLOGY,1.738,1.612,1.472,4.1,6.5,97.5,30.096
6800,MINERALOGICAL MAGAZINE,1.738,1.344,1.634,17.4,15.6,100,58.333
6805,ATOMIZATION AND SPRAYS,1.737,1.542,1.48,10.8,10.8,100,39.951
6805,JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,1.737,1.632,2.103,14.3,9.6,90.32,14.615
6805,JOURNAL OF TOXICOLOGICAL SCIENCES,1.737,1.628,1.79,6.9,9.9,94.94,15.761
6805,Journal of Maternal-Fetal & Neonatal Medicine,1.737,1.599,1.715,4.8,9.5,87.36,32.317
6805,KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,1.737,1.725,1.644,6.6,6.3,92.31,22.826
6805,MEDICAL ENGINEERING & PHYSICS,1.737,1.711,2.107,8.8,9.6,97.83,29.31
6805,MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,1.737,1.392,1.439,3.4,7.3,98.42,32.224
6812,Digital Investigation,1.736,1.272,1.938,5.9,5.8,96.51,33.664
6812,Journal of Digestive Diseases,1.736,1.718,1.771,5.6,6.4,78.87,9.659
6812,Marine and Coastal Fisheries,1.736,1.615,1.857,7,11.3,100,62.5
6815,JOURNAL OF REPRODUCTION AND DEVELOPMENT,1.735,1.616,1.69,8.1,10,100,46.388
6816,INSTRUCTIONAL SCIENCE,1.734,1.684,2.594,9.8,11.6,100,54.292
6816,TELECOMMUNICATION SYSTEMS,1.734,1.485,1.411,4.2,5.7,90.24,32.778
6818,FISHERIES MANAGEMENT AND ECOLOGY,1.733,1.653,1.94,9.4,11.2,98.44,59.434
6818,International Journal of Speech-Language Pathology,1.733,1.638,1.784,6.2,10,93.65,66.22
6818,International Journal of Speech-Language Pathology,1.733,1.638,1.784,6.2,10,93.65,66.22
6818,JOURNAL OF COMMUNICATIONS AND NETWORKS,1.733,1.655,1.623,5.1,4.9,97.87,31.058
6818,JOURNAL OF CONSUMER AFFAIRS,1.733,1.65,2.478,12,10.1,100,44.791
6818,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,1.733,1.667,2.4,12.4,9.2,100,35.486
6818,PSYCHIATRY-INTERPERSONAL AND BIOLOGICAL PROCESSES,1.733,1.667,2.4,12.4,9.2,100,35.486
6825,JOURNAL OF SPECIAL EDUCATION,1.732,1.634,2.538,13.7,9.2,90.48,77.381
6826,International Journal of Agricultural and Biological Engineering,1.731,1.295,1.659,3.6,7,98.79,57.692
6826,JOURNAL OF CLUSTER SCIENCE,1.731,1.515,1.5,3.9,6.4,97.56,47.778
6828,COMBUSTION SCIENCE AND TECHNOLOGY,1.73,1.627,1.664,17.1,10,100,37.999
6828,FOLIA MICROBIOLOGICA,1.73,1.642,1.639,9.4,9,90.22,20.502
6828,INTERNATIONAL JOURNAL OF SPELEOLOGY,1.73,1.635,1.874,7.9,13.5,95.24,37.75
6828,Journal of Physiological Anthropology,1.73,1.429,2.028,6.9,11.4,82.35,27.778
6828,Science and Public Policy,1.73,1.496,2.114,7.9,9.7,98.68,32.69
6833,Discourse-Studies in the Cultural Politics of Education,1.729,1.682,1.931,6.5,9.1,98.21,55.703
6834,BIOMEDICAL CHROMATOGRAPHY,1.728,1.571,1.627,6.2,7.7,97.59,23.235
6834,JOURNAL OF HYDROINFORMATICS,1.728,1.468,1.769,6.4,8.9,98.61,37.544
6834,ONCOLOGY NURSING FORUM,1.728,1.608,2.608,9.3,6.5,88.73,50.62
6834,ONCOLOGY NURSING FORUM,1.728,1.608,2.608,9.3,6.5,88.73,50.62
6834,PHYSIOLOGICAL ENTOMOLOGY,1.728,1.654,1.532,15.7,12.4,96.55,69.802
6834,POLAR BIOLOGY,1.728,1.525,2,9.5,12.6,97.92,45.089
6840,ACM Journal on Computing and Cultural Heritage,1.727,1.591,1.491,4.4,7.5,100,34.404
6840,ASTERISQUE,1.727,1.568,1.459,23.3,18.8,100,90.895
6840,Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,1.727,1.675,1.777,6.8,8.4,76.32,26.119
6840,IMF Economic Review,1.727,1.682,2.62,6.4,8.2,100,57.492
6840,Journal of Legal Analysis,1.727,1.727,2.098,8.3,9,100,77.597
6840,Mental Health and Physical Activity,1.727,1.416,2.193,5.6,6.4,81.48,42.199
6840,WRITTEN COMMUNICATION,1.727,1.576,2.167,11.6,10.5,100,55.978
6847,CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,1.726,1.637,1.42,5.6,7.9,89.66,30.451
6847,Journal of Interprofessional Care,1.726,1.317,2.132,6.5,8.3,93.52,35.674
6847,Journal of Interprofessional Care,1.726,1.317,2.132,6.5,8.3,93.52,35.674
6847,MICRON,1.726,1.581,1.891,8.8,8.9,98.4,55
6851,JAPANESE JOURNAL OF OPHTHALMOLOGY,1.725,1.537,1.72,9.9,9.2,93.44,40.833
6851,JOURNAL OF DOCUMENTATION,1.725,1.401,1.615,12.6,9.1,94.94,54.598
6851,JOURNAL OF SEA RESEARCH,1.725,1.551,2.115,8.4,12,100,55.232
6851,JOURNAL OF VASCULAR RESEARCH,1.725,1.71,2.017,9.2,9.6,96.43,22.887
6851,Plant Direct,1.725,1.692,1.725,1.5,9.4,100,55.342
6856,BIOREMEDIATION JOURNAL,1.724,1.552,1.302,9.4,11.3,100,31.132
6856,HERD-Health Environments Research & Design Journal,1.724,1.184,2.123,6,9.6,82.98,52.647
6856,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,1.724,1.583,1.708,9.8,8.4,100,26.415
6856,JOURNAL OF ZOOLOGY,1.724,1.673,1.922,18.6,11.8,96.55,72.917
6860,DEVELOPMENT GROWTH & DIFFERENTIATION,1.723,1.67,1.79,10.3,10.7,67.5,18.637
6860,HUMAN DIMENSIONS OF WILDLIFE,1.723,1.482,Not Available,10.3,9.9,90.7,39.341
6860,PSYCHIATRISCHE PRAXIS,1.723,1.168,1.25,6.4,7,98.28,41.489
6863,JOURNAL OF INFECTION AND CHEMOTHERAPY,1.722,1.597,1.717,5.6,8.2,93.2,18.408
6863,Journal of Primary Prevention,1.722,1.722,2.006,9.8,9.2,91.89,52.059
6865,ACM Transactions on Computing Education,1.721,1.395,1.868,5.6,8.6,95.12,54.878
6865,BEHAVIORAL MEDICINE,1.721,1.706,2.212,9.2,8.7,85.29,29.464
6865,BEHAVIORAL MEDICINE,1.721,1.706,2.212,9.2,8.7,85.29,29.464
6865,CROSS-CULTURAL RESEARCH,1.721,1.651,1.5,11.9,15.4,100,65.278
6865,Journal of Early Childhood Literacy,1.721,1.651,Not Available,7.1,13.2,100,55.323
6865,NEOPLASMA,1.721,1.7,1.879,5.6,6.1,94.12,10.451
6871,APHASIOLOGY,1.72,1.343,2.011,10.4,11.8,88.89,56.405
6871,APHASIOLOGY,1.72,1.343,2.011,10.4,11.8,88.89,56.405
6871,Cellular and Molecular Bioengineering,1.72,1.671,2.416,5.3,7.9,97.62,18.403
6871,ETHNIC AND RACIAL STUDIES,1.72,1.563,2.073,8.8,9.6,99.31,61.75
6871,Games for Health Journal,1.72,1.551,1.985,4.3,7,93.75,62.003
6871,Journal of Causal Inference,1.72,1.52,Not Available,4,12.3,100,59.42
6871,Journal of Causal Inference,1.72,1.52,Not Available,4,12.3,100,59.42
6871,PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,1.72,1.533,1.516,9.7,19.3,92.86,63.81
6879,Baltic Journal of Management,1.719,1.561,1.754,5.6,10.9,86.84,26.77
6879,Journal of Industrial Relations,1.719,1.328,1.475,6.4,5.7,93.75,48.333
6879,Journal of Marketing Management,1.719,1.484,Not Available,7,9.7,91.84,26.378
6879,Tree-Ring Research,1.719,1.719,1.471,11.5,12.4,100,59.559
6883,INTERNATIONAL FORESTRY REVIEW,1.718,1.565,1.767,8.3,7.5,97.22,58.088
6883,JOURNAL OF ECONOMIC PSYCHOLOGY,1.718,1.468,2.451,10.8,9.6,100,61.815
6883,Orthopaedic Surgery,1.718,1.631,1.666,4.5,7.8,87.18,42.073
6883,QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL,1.718,1.231,1.909,5.5,9.3,98.82,42.051
6883,REPRODUCTION FERTILITY AND DEVELOPMENT,1.718,1.624,1.923,7.5,10.8,92.7,36.19
6883,SEPARATION SCIENCE AND TECHNOLOGY,1.718,1.634,1.49,9.2,8.4,96.35,37.76
6889,CAMBRIDGE JOURNAL OF ECONOMICS,1.717,1.552,2.191,10.6,14.4,98.57,62.129
6890,INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION,1.716,1.473,2.145,4.8,8.3,100,44.382
6890,International Journal of Computational Methods,1.716,1.479,1.454,5.1,10.8,100,51.418
6890,MARINE GEORESOURCES & GEOTECHNOLOGY,1.716,1.344,1.583,3.3,10.8,98.26,42.391
6890,MOLECULAR SIMULATION,1.716,1.633,1.737,6.9,10,99.33,28.276
6894,JOURNAL OF BEHAVIORAL DECISION MAKING,1.715,1.59,2.267,12.8,12.3,100,39.881
6894,SIAM JOURNAL ON CONTROL AND OPTIMIZATION,1.715,1.538,1.974,13.5,11.4,100,59.205
6896,BEHAVIORAL NEUROSCIENCE,1.714,1.667,2.543,15.3,11.9,100,17.345
6896,CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,1.714,1.63,1.851,9.9,7.9,83.95,23.775
6896,Convergence-The International Journal of Research into New Media Technologies,1.714,1.675,1.746,6.9,8.3,98.48,54.891
6896,Earthquakes and Structures,1.714,1.232,1.624,3.8,8.4,100,35.127
6896,International Journal of Computerized Dentistry,1.714,1.5,1.974,6.2,6.5,93.55,47.802
6896,Journal of Grey System,1.714,1.22,1.274,6.6,6,97.5,55.189
6902,Clinical Simulation in Nursing,1.713,1.275,2.22,4.7,5.4,90.79,69.68
6902,Clinical Simulation in Nursing,1.713,1.275,2.22,4.7,5.4,90.79,69.68
6902,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1.713,1.439,2.15,7.3,9.3,96.53,41.903
6902,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1.713,1.439,2.15,7.3,9.3,96.53,41.903
6902,International Journal of Minerals Metallurgy and Materials,1.713,1.308,1.638,5,7.3,97.02,44.835
6902,JOURNAL OF CHILD NEUROLOGY,1.713,1.648,1.765,9.6,7.9,84.48,35.666
6902,SOCIOLOGICAL FORUM,1.713,1.245,1.869,11.6,9.8,100,60.333
6902,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,1.713,1.619,1.89,10.9,9.9,98.98,45.253
6910,Analysis & PDE,1.712,1.644,1.883,4.8,13.9,100,83.274
6910,OTOLOGY & NEUROTOLOGY,1.712,1.373,2.243,7.3,8.8,92.84,36.992
6910,Psychology of Music,1.712,1.559,1.745,8.5,11.8,98.31,42.293
6913,AMERICAN JOURNAL OF MATHEMATICS,1.711,1.699,1.751,45.2,16.8,100,90.278
6913,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,1.711,1.573,1.474,3.5,7.7,97.79,45.775
6913,BIOMETRICS,1.711,1.636,1.959,28.9,10.1,100,52.472
6913,LINGUISTICS AND PHILOSOPHY,1.711,1.605,1.759,17.8,13.1,94.74,81.016
6917,AQUATIC BOTANY,1.71,1.585,1.9,14.4,13.7,100,58.353
6917,Breastfeeding Medicine,1.71,1.398,2.509,4.9,6.6,93.2,39.182
6917,CULTURE & PSYCHOLOGY,1.71,1.016,2.138,8.6,11.5,100,60.507
6917,JOURNAL OF AMERICAN COLLEGE HEALTH,1.71,1.611,2.19,9.7,8.9,95.92,52.913
6917,JOURNAL OF PAEDIATRICS AND CHILD HEALTH,1.71,1.613,1.718,8.1,7.2,85.08,47.266
6922,MEDITERRANEAN MARINE SCIENCE,1.709,1.427,2.055,5.9,12,95.31,60.849
6923,JOURNAL OF HIGHER EDUCATION,1.708,1.583,2.895,14.1,9,100,54.563
6923,Journal of Consumer Behaviour,1.708,1.625,2.607,8.7,11.2,100,25.329
6923,KYKLOS,1.708,1.417,1.816,14.6,11.4,100,61.86
6923,Language Testing,1.708,1.542,2.008,11.7,11.3,92.31,80.481
6923,Medicine Health Care and Philosophy,1.708,1.594,1.581,6.4,9.1,92.86,79.006
6923,TOXICOLOGY AND INDUSTRIAL HEALTH,1.708,1.649,1.652,6.9,10,94.12,25.317
6929,Developmental Neurorehabilitation,1.707,1.626,1.668,6.4,10,100,40.071
6929,IRANIAN POLYMER JOURNAL,1.707,1.436,1.84,6.4,6.7,96.84,43.258
6929,JOURNAL OF MICROBIOLOGICAL METHODS,1.707,1.643,1.883,11.2,7.7,93.52,20.438
6929,PHYSICS AND CHEMISTRY OF LIQUIDS,1.707,1.406,1.255,8.3,11,100,30.175
6929,Tumori J,1.707,1.585,1.271,8.3,6.8,91.43,10.041
6934,ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,1.706,1.706,2.163,26.3,14.9,100,89.969
6934,CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,1.706,1.542,1.435,6.1,10,97.06,43.841
6934,GOLD BULLETIN,1.706,1.608,1.836,12.2,7.7,95.24,32.864
6934,Journal of Fashion Marketing and Management,1.706,1.397,Not Available,8.5,9,100,25.278
6934,Psychology Health & Medicine,1.706,1.647,1.904,6.4,8.6,96.69,43.411
6934,Psychology Health & Medicine,1.706,1.647,1.904,6.4,8.6,96.69,43.411
6940,JOURNAL OF KOREAN MEDICAL SCIENCE,1.705,1.587,1.892,6.6,8,96.55,50.606
6940,Language and Education,1.705,1.59,2.039,8.5,10.3,100,67.065
6940,SCIENCE AS CULTURE,1.705,1.636,1.395,8.8,8.3,100,86.146
6940,Scandinavian Actuarial Journal,1.705,1.568,1.642,7.7,12.4,100,61.807
6940,Scandinavian Actuarial Journal,1.705,1.568,1.642,7.7,12.4,100,61.807
6945,Aquaculture Environment Interactions,1.704,1.42,2.553,4.7,9,92.31,58.726
6945,CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING,1.704,1.68,2.026,8.2,9,86.79,25.309
6945,Homeopathy,1.704,0.87,1.365,4.9,8.6,85.19,37.5
6945,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,1.704,1.21,2.039,8.6,15.7,96.79,37.25
6949,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,1.703,1.62,1.527,7.9,10.2,80.25,43.77
6949,JOURNAL OF FOOD PROCESS ENGINEERING,1.703,1.421,1.773,4.4,7.9,98.1,39.719
6949,JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,1.703,1.526,1.633,12.2,10.8,98.99,31.457
6949,Maritime Economics & Logistics,1.703,1.531,1.964,8.4,9.2,100,31.081
6953,Cellular Reprogramming,1.702,1.643,1.587,5.7,8.7,91.18,16.886
6953,Distance Education,1.702,1.491,2.5,7.3,9.6,93.75,53.802
6953,EXPERIMENTAL LUNG RESEARCH,1.702,1.655,1.716,8.7,8.5,100,19.531
6956,JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY,1.701,1.573,1.593,6.4,8.8,100,23.585
6956,JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,1.701,1.084,1.611,2.4,7.9,99.29,57.813
6958,Cytoskeleton,1.7,1.663,2.199,6.4,10.2,81.13,13.077
6958,Journal of Applied Biomedicine,1.7,1.633,1.922,5.3,8.3,75,18.704
6958,Livestock Science,1.7,1.585,1.905,7.6,10.5,96.5,72.222
6958,Navigation-Journal of the Institute of Navigation,1.7,1.538,1.828,6.4,8.1,96.36,40.633
6962,European Security,1.698,1.358,Not Available,6,6.9,100,71.078
6962,UROLOGIA INTERNATIONALIS,1.698,1.434,1.441,7.7,8.5,88.51,28.824
6964,Archives of Control Sciences,1.697,1.485,1.269,3.3,9,100,58.027
6964,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,1.697,1.567,1.6,8,9.1,96.36,33.005
6964,VETERINARY DERMATOLOGY,1.697,1.404,1.813,8,8.9,100,55.898
6967,Computational Particle Mechanics,1.696,1.405,2.54,3.7,11.5,98.08,45.952
6967,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,1.696,1.607,1.731,14.3,11.4,89.13,68.812
6967,PLANT PRODUCTION SCIENCE,1.696,1.533,1.633,10.4,11,94.12,66.484
6970,BMC Anesthesiology,1.695,1.584,1.922,4,7.7,93.33,23.438
