Rank,Full Journal Title,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Cited Half-Life,Citing Half-life,% Articles in Citable Items,Average Journal Impact Factor Percentile
174,AMERICAN JOURNAL OF PSYCHIATRY,14.119,13.692,14.542,14.1,6.7,88.89,96.953
174,AMERICAN JOURNAL OF PSYCHIATRY,14.119,13.692,14.542,14.1,6.7,88.89,96.953
176,Annual Review of Ecology Evolution and Systematics,14.041,13.898,16.881,17.4,9.3,0,98.054
177,JAMA Pediatrics,13.946,13.43,13.138,3.7,6,82.08,99.609
178,IMMUNOLOGICAL REVIEWS,13.939,13.856,11.867,8.1,7.9,0,96.519
179,FEMS MICROBIOLOGY REVIEWS,13.92,13.83,15.636,9.5,8.2,0,96.667
180,Annual Review of Entomology,13.796,13.648,16.669,14.3,10.6,0,99.505
181,Light-Science & Applications,13.714,13.349,15.005,3.2,5.6,95.58,97.423
182,Annual Review of Clinical Psychology,13.692,13.615,18.029,7.9,8.2,95.65,97.536
182,Annual Review of Clinical Psychology,13.692,13.615,18.029,7.9,8.2,95.65,97.536
184,Information Fusion,13.669,12.256,10.694,3.3,6.2,96.73,99.217
185,Journal of Statistical Software,13.642,13.558,21.629,7.3,9.6,100,99.569
186,JAMA Surgery,13.625,13.09,11.13,3.3,6.5,89.26,99.762
187,JAMA Neurology,13.608,13.313,12.135,3.6,6.3,86.47,97.794
188,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,13.606,13.249,11.691,4.4,3.8,100,97.668
189,IEEE Industrial Electronics Magazine,13.593,13.037,14.708,5.5,5,100,99.06
190,Nature Geoscience,13.566,13.292,16.103,6.3,7.8,99.35,99.75
191,TRENDS IN MICROBIOLOGY,13.546,13.434,13.537,8.2,5.7,0,96.7
192,TRENDS IN PHARMACOLOGICAL SCIENCES,13.503,13.421,13.398,8.3,4.9,0,99.074
193,MALACOLOGIA,13.5,13.375,3.286,17.4,16.4,100,99.702
194,Signal Transduction and Targeted Therapy,13.493,13.239,13.195,2.4,5.7,62.79,95.107
195,Science Immunology,13.44,13.216,13.408,2.2,6.8,91.78,95.886
196,TRENDS IN IMMUNOLOGY,13.422,13.252,14.923,7.2,4.9,0,95.253
197,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,13.421,12.86,11.94,7,9.7,0,96.098
198,Journal of Thoracic Oncology,13.357,12.317,10.089,4.5,4.1,91.94,95.895
199,ADVANCED DRUG DELIVERY REVIEWS,13.3,12.963,15.551,8.1,7.5,0,98.704
200,Nature Plants,13.256,12.961,14.576,2.9,7.1,93.7,98.932
201,Science Advances,13.116,12.936,14.094,2.5,7.3,98.63,95.07
202,IEEE Geoscience and Remote Sensing Magazine,13,12.529,9.907,3.7,7,70.83,97.847
203,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,12.959,11.986,12.659,5.9,5.6,93.92,91.808
204,TRENDS IN NEUROSCIENCES,12.891,12.791,13.136,12.2,6.2,0,97.232
205,Kidney International Supplements,12.818,12.773,9.821,7.1,Not Available,100,97.059
206,JAMA Cardiology,12.794,12.46,12.275,2.3,5.3,90,96.014
207,JACC-Cardiovascular Imaging,12.74,10.539,11.462,4.4,5.7,82.91,97.457
208,ACS Central Science,12.685,12.363,13.18,2.4,6,100,91.243
209,HUMAN REPRODUCTION UPDATE,12.684,12.418,14.48,8.5,8,0,98.833
210,Annual Review of Phytopathology,12.623,12.453,13.878,12.7,7.8,0,98.504
211,Nature Chemical Biology,12.587,12.33,13.824,6.2,7.2,97.08,96.801
212,Physical Review X,12.577,12.189,12.666,3.4,7.1,100,94.706
213,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,12.568,12.514,18.504,12.9,9.5,0,95.185
214,Annual Review of Neuroscience,12.547,12.472,16.364,13.6,8,0,96.863
215,Nature Ecology & Evolution,12.541,12.292,12.559,2,7.5,93.14,96.756
216,Annual Review of Materials Research,12.531,12.438,19.955,10.6,7,0,94.108
217,MOLECULAR PSYCHIATRY,12.384,12.08,12.455,5.3,7.1,62.79,96.47
218,ACS Catalysis,12.35,11.592,12.741,3.4,6.5,96.88,92.767
219,EUROPEAN RESPIRATORY JOURNAL,12.339,11.218,11.706,7.7,5.8,91.38,94.531
220,Ocular Surface,12.336,10.729,9.241,3.2,7.8,75.26,97.5
221,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,12.321,12.286,14.513,12.5,11.3,80,99.219
222,Materials Horizons,12.319,11.965,13.233,2.8,5.4,84.97,92.234
